鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新興區,房地(土地+建物),高雄市新興區文化路61~90號,33.48,商,,,1050610,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0701104,99.14,3,2,2,有,無,無,12000,121,,0.0,0,,RPQNMLLLOHLFFBE97CC
鼓山區,房地(土地+建物),高雄市鼓山區文忠路91~120號,24.04,其他,,,1050622,土地1建物1車位0,十一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800810,59.14,1,1,1,有,有,有,9000,152,,0.0,0,,RPSNMLMLOHLFFAE18CC
前金區,房地(土地+建物),高雄市前金區六合二路151~180號,189.0,商,,,1050621,土地3建物1車位0,全,3,透天厝,住商用,加強磚造,0381010,365.37,0,0,0,無,無,無,50000,137,,0.0,0,,RPPOMLMLOHLFFAE97CC
三民區,房地(土地+建物),高雄市三民區哈爾濱街91~120號,84.0,住,,,1050621,土地1建物1車位0,全,4,透天厝,住家用,加強磚造,0560820,145.92,4,2,4,有,無,無,28000,192,,0.0,0,,RPXOMLMLOHLFFDE09CC
三民區,建物,高雄市三民區大昌一路91~120號,0.0,住,,,1050620,土地0建物1車位0,全,3,透天厝,,鋼筋混凝土造,0670503,53.5,0,0,0,無,無,無,10000,187,,0.0,0,,RPPPMLMLOHLFFDE38CC
三民區,房地(土地+建物),高雄市三民區鼎貴路31巷1~30號,25.0,住,,,1050620,土地1建物1車位0,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811228,160.23,5,0,4,有,無,無,23000,144,,0.0,0,租賃層次:一層+夾層,RPSPMLMLOHLFFDE68CC
左營區,房地(土地+建物),高雄市左營區自由二路121~150號,825.0,住,,,1050601,土地4建物2車位0,全,4,透天厝,住商用,鋼筋混凝土造,0790903,1010.89,0,0,0,無,無,無,250000,247,,0.0,0,,RPOQMLMLOHLFFEE48CC
楠梓區,房地(土地+建物)+車位,高雄市楠梓區榮新街31~60號,18.45,住,,,1050601,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970917,146.34,3,2,2,有,有,有,17000,116,坡道平面,0.0,0,,RPQQMLMLOHLFFEE68CC
鳳山區,建物,高雄市鳳山區龍成路34巷31~60號,0.0,,,,1050620,土地0建物1車位0,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1040508,89.91999999999999,2,1,1,有,有,有,15000,167,,0.0,0,,RPSOMLMLOHLFFGE88CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東八街91~120號,0.0,住,,,1050608,土地0建物1車位2,二十二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921202,90.2,3,2,2,有,有,有,39000,432,坡道機械,0.0,0,,RPXOMLMLOHLFFAE88DC
鳥松區,房地(土地+建物),高雄市鳥松區中正路61~90號,85.56,住,,,1050616,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0841124,128.24,5,2,6,有,無,無,25000,195,,0.0,0,,RPVOMLNLOHLFFIE86CC
左營區,房地(土地+建物),高雄市左營區裕誠路451~480號,721.0,其他,,,1050601,土地1建物1車位0,一層,1,店面(店鋪),見使用執照,見其它登記事項,0840222,459.27,0,0,0,無,無,無,400000,871,,0.0,0,,RPRQMLNLOHLFFEE88CC
左營區,建物,高雄市左營區博愛三路1~30號,0.0,住,,,1050601,土地0建物1車位0,見使用執照,2,其他,見其它登記事項,加強磚造,0951030,67.8,0,0,0,無,無,無,17000,251,,0.0,0,,RPVQMLNLOHLFFEE66CC
三民區,房地(土地+建物),高雄市三民區鼎山街571~600號,86.0,商,,,1050618,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0891129,41.95,8,2,4,有,無,有,33000,787,,0.0,0,,RPTNMLNLOHLFFDE68CC
