編號,車位類別,車位價格,車位面積平方公尺
RPSNMLMKPHLFFCB87CA,坡道平面,0,28.01
RPSNMLMKPHLFFCB87CA,坡道平面,0,28.01
RPVNMLMKPHLFFCB18CA,坡道平面,0,28.01
RPVNMLMKPHLFFCB18CA,坡道平面,0,28.01
RPXNMLMKPHLFFCB38CA,坡道平面,0,28.01
RPXNMLMKPHLFFCB38CA,坡道平面,0,25.96
RPUPMLPJPHLFFCB48CA,坡道平面,0,
RPPOMLLKPHLFFCB57CA,坡道平面,0,
RPXOMLKMOHLFFGL17CA,坡道機械,0,9.03
RPOOMLRJPHLFFGL76CA,坡道平面,0,29.95
RPXNMLOKOHLFFGL27CA,坡道平面,0,29.95
RPVOMLOJPHLFFFL07CA,坡道平面,0,31.12
RPUNMLQKOHLFFHL27CA,坡道平面,1000000,26.46
RPUNMLQKOHLFFHL27CA,坡道平面,900000,26.46
RPVNMLQKOHLFFHL37CA,坡道平面,1000000,26.46
RPWNMLQKOHLFFHL47CA,坡道平面,1000000,26.46
RPWNMLQKOHLFFHL47CA,坡道平面,1000000,26.46
RPTNMLPJPHLFFHL07CA,坡道平面,0,30.31
RPQNMLLJPHLFFIL09CA,其他,0,
RPXNMLMKPHLFFFL07CA,坡道平面,0,40.91
RPOOMLPKPHLFFFL56CA,坡道平面,0,
RPQNMLRKOHLFFGL86CA,坡道機械,700000,9.65
RPTNMLLLOHLFFGL66CA,坡道機械,0,
RPROMLLKPHLFFGL56CA,坡道平面,0,
RPSOMLLKPHLFFGL66CA,坡道平面,0,
RPWNMLLKPHLFFCB18CA,坡道平面,0,40.26
RPWNMLLKPHLFFCB18CA,升降機械,0,20.21
