鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
樹林區,房地(土地+建物)+車位,新北市樹林區大雅路241~270號,18.18,商,,,1050531,土地1建物1車位1,一層,19,店面(店鋪),見其他登記事項,鋼筋混凝土造,0990331,187.31,0,0,0,無,無,無,73000,390,坡道平面,37.94,0,含夾層,RPSNMLOJOHLFFIF09CC
中和區,房地(土地+建物)+車位,新北市中和區中原二街121~150號,39.5,住,,,1050506,土地1建物1車位2,十層,23,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1021227,208.55,3,2,2,有,有,無,38000,182,升降機械,0.0,0,,RPWNMLOJOHLFFHF76CC
板橋區,房地(土地+建物),新北市板橋區文化路一段188巷31~60號,33.75,住,,,1050531,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,93.07,3,2,1,有,無,無,18000,193,,0.0,0,,RPROMLOJOHLFFAF28CC
板橋區,房地(土地+建物),新北市板橋區文化路一段285巷1弄1~30號,29.5,住,,,1050524,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,81.34,3,2,1,有,無,無,15000,184,,0.0,0,,RPSOMLOJOHLFFAF38CC
新莊區,房地(土地+建物)+車位,新北市新莊區福美街90巷31~60號,40.35,住,,,1050412,土地1建物1車位1,十三層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020731,295.73,4,2,3,有,有,無,24200,82,坡道平面,46.48,0,,RPQPMLOJOHLFFBF38CC
新莊區,房地(土地+建物),新北市新莊區中港路331~360號,12.57,商,,,1050409,土地1建物1車位0,一層,14,店面(店鋪),商業用,鋼筋混凝土造,0931028,156.6,0,0,1,有,有,無,25000,160,,0.0,0,,RPSPMLOJOHLFFBF58CC
新莊區,房地(土地+建物),新北市新莊區中信街61~90號,455.87,其他,,,1050408,土地1建物1車位0,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0870808,147.11,0,0,1,有,有,無,21000,143,,0.0,0,,RPUPMLOJOHLFFBF78CC
新莊區,建物,新北市新莊區思源路192巷1~30號,0.0,住,,,1050521,土地0建物1車位1,六層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1031117,261.51,5,2,3,有,有,無,40000,153,坡道平面,40.62,0,,RPTQMLOJOHLFFBF78CC
新莊區,房地(土地+建物),新北市新莊區頭興街121~150號,8.38,商,,,1050509,土地1建物1車位0,九層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010515,69.19,1,1,1,有,無,無,18500,267,,0.0,0,,RPQTMLOJOHLFFBF78CC
新莊區,房地(土地+建物),新北市新莊區新北大道七段541~570號,13.74,住,,,1050513,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921127,122.97,3,2,2,有,有,無,17000,138,,0.0,0,,RPWTMLOJOHLFFBF76CC
新莊區,房地(土地+建物),新北市新莊區新北大道二段241~270號,7.28,住,,,1050512,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030827,77.54,2,2,1,有,有,有,20000,258,,0.0,0,,RPQUMLOJOHLFFBF88CC
新莊區,房地(土地+建物),新北市新莊區復興路一段218巷1~30號,17.57,住,,,1050516,土地1建物1車位0,一層,4,店面(店鋪),住家用,加強磚造,0660317,57.01,0,0,1,有,無,無,18500,325,,0.0,0,,RPUUMLOJOHLFFBF66CC
新莊區,房地(土地+建物),新北市新莊區中泰街61~90號,29.24,住,,,1050521,土地1建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830523,142.20000000000002,4,2,1,有,無,無,18000,127,,0.0,0,,RPWUMLOJOHLFFBF86CC
新莊區,房地(土地+建物)+車位,新北市新莊區中港路301~330號,13.88,商,,,1050525,土地1建物1車位1,十六層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040129,181.94,3,2,2,有,有,無,34000,187,坡道平面,23.12,0,,RPXUMLOJOHLFFBF96CC
新莊區,房地(土地+建物)+車位,新北市新莊區立信三街31~60號,10.75,住,,,1050526,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941021,99.34,2,2,1,有,有,有,23000,232,坡道平面,0.0,0,,RPQVMLOJOHLFFBF98CC
新莊區,房地(土地+建物),新北市新莊區新興街48巷1~30號,19.21,住,,,1050530,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0570301,76.0,3,2,1,有,無,無,15000,197,,0.0,0,,RPRVMLOJOHLFFBF09CC
新莊區,房地(土地+建物),新北市新莊區中平路377巷17弄1~30號,10.87,住,,,1050529,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930607,76.35,2,2,1,有,有,有,20000,262,,0.0,0,,RPSVMLOJOHLFFBF56CC
新莊區,房地(土地+建物)+車位,新北市新莊區立信三街31~60號,14.73,住,,,1050529,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941014,130.17000000000002,3,2,2,有,有,有,24000,184,坡道平面,0.0,0,,RPUVMLOJOHLFFBF76CC
新莊區,房地(土地+建物),新北市新莊區民樂街31~60號,14.16,住,,,1050530,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820315,139.15,3,2,1,有,有,無,15000,108,,0.0,0,,RPVVMLOJOHLFFBF86CC
新莊區,房地(土地+建物)+車位,新北市新莊區中原路211~240號,33.37,住,,,1050531,土地1建物1車位1,十七層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041104,249.79,3,2,2,有,有,無,32000,128,坡道平面,31.48,0,,RPWVMLOJOHLFFBF96CC
新莊區,房地(土地+建物),新北市新莊區民安西路1~30號,24.4,住,,,1050526,土地1建物1車位0,一層,4,店面(店鋪),商業用,鋼筋混凝土造,0680517,95.04,0,1,1,有,無,無,55000,579,,0.0,0,,RPXVMLOJOHLFFBF07CC
