鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
鼓山區,房地(土地+建物),高雄市鼓山區南屏路841~870號,22.78,商,,,1050517,土地1建物1車位0,十層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951205,293.38,4,2,2,有,有,有,45000,153,,0.0,0,,RPXNMLTKNHLFFAE56CC
左營區,房地(土地+建物),高雄市左營區重安路號,23.45,住,,,1050501,土地1建物1車位0,三層,8,店面(店鋪),住商用,鋼筋混凝土造,0811201,145.68,0,0,0,無,無,無,18000,124,,0.0,0,1-3樓,RPRNMLTKNHLFFEE98CC
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德賢路541~570號,11.58,住,,,1050501,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000913,87.48,3,2,1,有,有,有,15000,171,坡道平面,18.65,0,,RPUOMLTKNHLFFEE76CC
左營區,房地(土地+建物),高雄市左營區新莊一路181~210號,19.84,住,,,1050501,土地1建物1車位0,一層,14,店面(店鋪),商業用,鋼筋混凝土造,0940520,157.48,1,2,2,有,有,無,45000,286,,0.0,0,,RPUNMLKLNHLFFEE48CC
三民區,房地(土地+建物),高雄市三民區大昌二路91~120號,16.39,住,,,1050422,土地1建物0車位0,一層,15,店面(店鋪),商業用,鋼筋混凝土造,0940613,165.4,0,2,1,有,無,無,36000,218,,0.0,0,,RPTOMLKLNHLFFDE38CC
鼓山區,建物,高雄市鼓山區裕誠路1921~1950號,0.0,住,,,1050506,土地0建物0車位0,全,5,透天厝,住商用,鋼筋混凝土造,0930906,50.53,0,1,1,有,無,無,55000,1088,,0.0,0,分段式租金：第一到第三年每月55000元，第四年到第五年每月58000元。,RPVNMLKLNHLFFAE18CC
新興區,房地(土地+建物),高雄市新興區八德二路61~90號,57.5,商,,,1050519,土地2建物0車位0,全,4,透天厝,,鋼筋混凝土造,0610807,189.56,0,0,0,無,無,無,33000,174,,0.0,0,,RPVNMLKLNHLFFBE28CC
鳳山區,房地(土地+建物),高雄市鳳山區文化西路1~30號,138.81,住,,,1050520,土地1建物1車位0,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0991119,162.76,0,0,0,無,無,無,60000,369,,0.0,0,,RPWOMLKLNHLFFGE98CC
前鎮區,建物,高雄市前鎮區前鎮區草二路434巷1弄1~30號,0.0,商,,,1050517,土地0建物0車位0,全,3,透天厝,,鋼筋混凝土造,0660418,54.45,3,0,3,有,無,有,21000,386,,0.0,0,,RPQOMLKLNHLFFCE97CC
苓雅區,建物,高雄市苓雅區三多四路61~90號,0.0,商,,,1050514,土地0建物1車位0,八層,19,辦公商業大樓,,鋼筋混凝土造,0790530,341.45,5,1,1,有,有,有,20000,59,,0.0,0,,RPPNMLLLNHLFFBE77CC
苓雅區,建物,高雄市苓雅區自強三路20巷1~30號,0.0,商,,,1050520,土地0建物1車位0,一層,35,店面(店鋪),住商用,鋼筋混凝土造,0860421,204.46,2,2,2,有,有,無,18765,92,,0.0,0,,RPQNMLLLNHLFFBE87CC
苓雅區,建物,高雄市苓雅區自強三路1~30號,0.0,商,,,1050517,土地0建物1車位0,二十三層,85,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0880401,188.43,1,0,0,無,有,無,20000,106,,0.0,0,,RPRNMLLLNHLFFBE97CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區鼓山三路1~30號,30.31,其他,,,1050509,土地1建物1車位1,一層,10,店面(店鋪),住商用,鋼筋混凝土造,1000624,188.37,2,1,3,有,有,有,24000,127,坡道平面,27.66,0,,RPSNMLNLNHLFFAE18CC
三民區,房地(土地+建物),高雄市三民區三民街181~210號,46.0,商,,,1050523,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0430502,43.5,0,0,0,無,無,無,15000,345,,0.0,0,,RPXNMLNLNHLFFDE98CC
三民區,房地(土地+建物),高雄市三民區臥龍路60巷1弄1~30號,15.79,住,,,1050523,土地1建物1車位0,八層,11,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0771026,84.33,2,1,1,有,無,有,9000,107,,0.0,0,,RPPOMLNLNHLFFDE28CC
左營區,房地(土地+建物),高雄市左營區立信路1~30號,16.78,住,,,1050501,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040108,150.76,3,2,2,有,有,有,30000,199,,0.0,0,,RPQNMLNLNHLFFEE38CC
楠梓區,房地(土地+建物),高雄市楠梓區旗楠路91~120號,297.0,商,,,1050501,土地1建物1車位0,一層,1,店面(店鋪),見其它登記事項,見其它登記事項,0771231,64.8,1,0,0,無,無,無,80000,1235,,0.0,0,,RPSOMLNLNHLFFEE68CC
前鎮區,建物,高雄市前鎮區鎮海路1~30號,0.0,住,,,1050519,土地0建物1車位0,全,3,透天厝,,加強磚造,0620723,151.79,4,2,3,有,無,無,20000,132,,0.0,0,,RPSNMLNLNHLFFCE38CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區鄭和南路421~450號,19.97,商,,,1050520,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950317,218.94,4,2,2,有,有,有,36000,164,坡道平面,20.38,0,,RPWNMLNLNHLFFCE78CC
大社區,土地,大安段991~1020地號,261.0,住,,,1050511,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,58000,222,,0.0,0,,RPUNMLNLNHLFFIE56CC
鳳山區,房地(土地+建物)+車位,高雄市鳳山區北昌二街1~30號,27.1,住,,,1050522,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1030221,153.13,3,2,2,有,有,有,16000,104,坡道平面,20.28,0,,RPRNMLNLNHLFFGE68CC
鳳山區,房地(土地+建物),高雄市鳳山區武慶二路121~150號,77.0,住,,,1050520,土地1建物1車位0,一層,4,店面(店鋪),見使用執照,鋼筋混凝土造,0890918,51.04,0,0,0,無,無,無,15000,294,,0.0,0,,RPQOMLNLNHLFFGE68CC
鳳山區,房地(土地+建物)+車位,高雄市鳳山區文化西路61~90號,26.26,住,,,1050521,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010530,200.25,4,2,2,有,有,有,28000,140,坡道平面,19.38,0,,RPWOMLNLNHLFFGE66CC
鳳山區,建物,高雄市鳳山區八德路361~390號,0.0,,,,1050521,土地0建物1車位0,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1010901,148.82,3,2,2,有,無,有,22000,148,,0.0,0,,RPRPMLNLNHLFFGE88CC
鳳山區,建物,高雄市鳳山區保華二路271~300號,0.0,住,,,1050504,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0900622,54.2,2,1,1,有,有,有,16000,295,,0.0,0,,RPQOMLOLNHLFFGE78CC
仁武區,房地(土地+建物),高雄市仁武區鳳仁路211~240號,67.0,住,,,1050524,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0871003,186.63,5,3,4,有,無,有,18000,96,,0.0,0,,RPXNMLOLNHLFFIE96CC
仁武區,土地,仁新段1471~1500地號,265.0,農,,,1050510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,有,無,28000,106,,0.0,0,,RPPOMLOLNHLFFIE88CC
仁武區,土地,仁雄段211~240地號,297.0,住,,,1050427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,101,,0.0,0,,RPQOMLOLNHLFFIE98CC
